word,mean,std,n
bet,3.7,2.0027758514399734,20
betrayal,3.0,1.9436506316151,20
beverage,1.76,1.653618390534105,22
bird,1.64,1.5707408732048393,22
blade,1.96,1.9372509327577028,22
blood,1.84,1.784621514377722,22
boat,1.52,1.8525476439512276,22
body,2.6,1.6713100582849278,22
bolt,3.1,1.9692073983655907,20
border,3.9,1.449137674618944,20
boredom,3.5,2.223610677354389,20
bottle,1.96,1.8750910342046383,22
boulder,2.2,1.784621514377722,22
boundary,5.0,1.632993161855452,20
boy,2.16,2.057166199680824,22
bracelet,1.96,1.827428739600898,22
brain,4.04,2.034162020599741,22
branch,3.3,1.2516655570345723,20
brawl,3.2,1.9888578520235063,20
brevity,4.4,1.4424535586657765,22
bridge,2.24,1.7585326197685147,22
brother,3.3,1.494434118097326,20
brute,2.6,1.9550504398153574,20
bubble,1.92,2.1471106244470604,22
bullet,2.36,2.0485699049488613,22
burner,2.1,1.1972189997378646,20
butter,1.88,1.83888895941055,22
butterfly,1.92,1.5546082216073205,22
cake,1.72,1.5135244637999767,22
calculation,5.04,1.7335057014058888,22
calendar,6.12,1.9626769577126373,22
camera,3.2,1.873795909674026,20
candidate,3.0,1.699673171197595,20
candy,2.0,1.827428739600898,22
capacity,3.84,1.5218299466611314,22
car,1.96,1.6114089038671056,22
cat,1.52,1.7570984485745789,22
category,4.12,1.5410353389738947,22
caterpillar,2.08,1.8809080589041087,22
cause,4.3,1.6363916944844767,20
ceiling,2.28,1.770438866923285,22
ceremony,4.3,2.0027758514399734,20
chair,1.68,1.784621514377722,22
chance,4.0,1.4907119849998598,20
character,2.6,1.7902631138485547,22
charity,2.76,1.9368171065440538,22
charter,3.9,1.9692073983655907,20
chicken,1.68,1.8755391381742825,22
chief,3.5,1.90029237516523,20
child,2.8,1.9626769577126373,22
chipmunk,1.56,1.9062039359360659,22
chlorine,1.6,0.6992058987801009,20
chocolate,1.96,1.6408647033774348,22
christmas,4.32,1.8163589028233231,22
church,2.44,2.097217043543918,22
circuit,4.35,1.118033988749895,20
circumstance,4.4,1.4301671759834595,22
city,2.08,1.8661063584845505,22
claim,4.4,1.6465452046971294,20
clean,3.4,2.2211108331943574,20
clearance,3.76,1.4130246478608164,22
cliff,1.68,1.6285271997532418,22
cloth,2.8,1.873795909674026,20
clothing,2.36,1.806617155409105,22
cocktail,2.12,2.033335629332404,22
coffee,2.28,1.8370601285658523,22
coffin,1.88,1.9575323172579413,22
cognition,3.8,1.8777780540223774,22
coincidence,3.88,1.711552442873394,22
combination,3.56,1.5162980128805639,22
comparison,4.04,1.7036786693515187,22
competence,3.72,2.02837021134844,22
complication,2.88,1.6642559596287057,22
composer,3.8,1.6865480854231354,20
comprehension,3.76,1.75470555838826,22
conclusion,5.56,1.5046147501000005,22
conference,4.2,2.097617696340303,20
confidence,3.2,1.8117265083826728,22
conscience,3.7,2.3118054512532935,20
consequence,5.0,1.6285271997532418,22
consideration,4.2,1.7208557574111567,22
consistency,4.08,1.7378630749362536,22
construction,5.25,1.6414763002993502,20
contempt,3.5,2.223610677354389,20
context,3.72,1.2216533775134073,22
contract,5.4,1.71269767715535,20
convergence,4.0,1.5867095067540022,22
core,2.3,1.636391694484477,20
corn,1.76,1.409451887028691,22
corporation,3.16,1.8370601285658523,22
corpse,2.56,2.0041972763899953,22
correspondent,3.3,2.263232692902394,20
costume,3.3,2.1628170930011112,20
cottage,1.56,1.8530011995080173,22
coupon,2.92,2.1471106244470604,22
cow,1.72,1.859339360402736,22
cowardice,2.12,1.8688062967546732,22
cranberry,1.76,1.9519436553377876,22
crime,2.4,1.6465452046971292,20
crisis,3.8,1.8370601285658523,22
criticism,3.8,1.5680636241593529,22
crocodile,1.72,1.8755391381742825,22
crown,2.04,1.9150004936699894,22
cucumber,1.64,1.8228244774608033,22
cup,2.2,1.846186166491488,22
curfew,5.9,1.5951314818673858,20
dad,3.08,2.125475725296229,22
dagger,2.2,1.2292725943057183,20
damage,3.0,1.7638342073763937,20
danger,2.88,1.8066171554091055,22
darkness,3.76,1.8140441842802526,22
debt,4.8,1.4424535586657765,22
deceit,3.0,1.5808730701310418,22
decision,4.8,1.6408647033774346,22
deduction,3.4,1.4159950624231437,22
definition,3.08,1.7368957143965427,22
degree,5.4,1.1737877907772662,20
democracy,4.2,1.424279266355945,22
denial,2.96,1.6150552192864918,22
dentist,2.08,1.7671132039657935,22
deputy,2.5,1.9578900207451218,20
description,3.08,2.054713785298526,22
design,4.6,1.6465452046971294,20
desk,2.32,1.943314330785242,22
despair,2.9,1.852925614624973,20
destiny,4.16,1.7713879095360283,22
