unit,mean,std,n,individual_ratings
Barbados,3.9655,1.1797,29,"[5, 3, 5, 3, 5, 3, 5, 3, 2, 5, 2, 4, 4, 5, 3, 5, 5, 1, 5, 4, 5, 4, 5, 5, 3, 3, 5, 5, 3]"
Barbra Streisand,4.5862,0.78,29,"[5, 5, 5, 5, 5, 5, 5, 3, 3, 2, 4, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4]"
Barry Sanders,3.2333,1.6121,30,"[1, 5, 5, 3, 3, 5, 2, 5, 2, 1, 5, 5, 2, 5, 3, 4, 5, 4, 1, 2, 1, 3, 5, 4, 1, 5, 5, 2, 1, 2]"
Baton Rouge,4.4,0.9685,30,"[5, 5, 5, 1, 5, 5, 5, 3, 5, 5, 4, 5, 4, 5, 5, 5, 5, 3, 4, 3, 5, 4, 4, 5, 3, 5, 4, 5, 5, 5]"
Beatrice,3.5517,1.4537,29,"[1, 5, 2, 5, 3, 3, 3, 3, 1, 2, 4, 4, 1, 5, 5, 3, 3, 5, 4, 1, 4, 5, 5, 5, 2, 5, 5, 4, 5]"
Belgium,4.4333,0.8172,30,"[5, 4, 5, 4, 5, 5, 5, 3, 5, 3, 4, 5, 5, 5, 3, 5, 5, 3, 5, 4, 5, 5, 5, 5, 3, 5, 4, 5, 3, 5]"
Ben Bass,1.4333,0.8584,30,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 5, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 3, 1, 2, 1, 1, 1]"
Benadryl,4.7667,0.504,30,"[4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Benito Mussolini,3.4333,1.2229,30,"[4, 3, 2, 3, 5, 3, 3, 1, 4, 3, 5, 4, 5, 5, 5, 5, 2, 5, 3, 3, 5, 3, 4, 3, 2, 3, 2, 4, 3, 1]"
Benjamin Franklin,4.6,0.6215,30,"[4, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 3, 3, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5]"
Bermuda,4.4667,0.8193,30,"[5, 4, 5, 5, 5, 5, 5, 4, 3, 5, 2, 4, 4, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 3, 5, 5, 4]"
Bernard,3.1,1.5833,30,"[5, 1, 5, 2, 4, 5, 2, 1, 3, 4, 4, 5, 2, 4, 1, 1, 1, 5, 1, 5, 2, 5, 5, 4, 2, 2, 4, 3, 4, 1]"
Beth,3.0667,1.6595,30,"[2, 4, 5, 5, 3, 5, 3, 5, 1, 1, 5, 4, 3, 1, 4, 3, 5, 4, 5, 4, 1, 5, 2, 1, 1, 5, 2, 1, 1, 1]"
Betty White,4.2333,1.0063,30,"[4, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 3, 3, 5, 5, 5, 4, 2, 2, 3, 5, 5, 4, 3, 5, 5, 4, 3, 5]"
Billy Crystal,4.0667,1.1427,30,"[5, 4, 3, 5, 5, 1, 3, 5, 5, 3, 5, 5, 5, 4, 5, 4, 2, 5, 3, 3, 5, 5, 4, 3, 2, 4, 5, 4, 5, 5]"
Blondie,4.2333,1.0063,30,"[5, 4, 5, 5, 2, 4, 5, 4, 5, 3, 5, 5, 5, 5, 3, 5, 5, 3, 4, 3, 5, 4, 5, 5, 3, 5, 3, 5, 2, 5]"
Bob Gibson,2.0333,1.2172,30,"[2, 4, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 5, 1, 1, 1, 1, 2, 2, 5, 1, 1, 2, 5, 2, 3]"
Bob Marley,4.4667,0.7761,30,"[4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 4, 5, 4, 3, 5, 5, 5, 5, 2, 4, 4, 5, 4]"
Breanna,2.6333,1.4967,30,"[4, 1, 2, 1, 5, 4, 3, 1, 5, 2, 5, 1, 5, 1, 1, 3, 2, 3, 3, 1, 5, 3, 1, 3, 2, 1, 2, 5, 2, 2]"
Brian,4.2,1.4239,30,"[1, 5, 5, 4, 5, 5, 3, 3, 5, 1, 5, 5, 4, 1, 5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Britney,3.6667,1.373,30,"[5, 2, 1, 5, 4, 4, 5, 2, 1, 5, 2, 4, 3, 5, 3, 5, 5, 5, 5, 3, 5, 5, 3, 5, 2, 3, 2, 5, 3, 3]"
Bryan,3.8667,1.3578,30,"[4, 5, 3, 5, 5, 1, 2, 1, 5, 5, 2, 5, 5, 1, 3, 4, 3, 4, 4, 5, 3, 5, 4, 5, 4, 3, 5, 5, 5, 5]"
Burt Reynolds,4.1333,1.1958,30,"[2, 5, 5, 5, 2, 5, 4, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 4, 1, 3, 3, 5, 5, 4, 4, 5, 5, 2, 3, 5]"
Béla Bartók,2.1667,1.5992,30,"[1, 5, 1, 1, 2, 4, 5, 1, 5, 2, 5, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 5, 4, 1, 1, 2, 4, 1, 1]"
Cabernet Sauvignon,3.1,1.5614,30,"[1, 5, 5, 4, 5, 4, 1, 2, 4, 2, 5, 5, 3, 3, 1, 1, 2, 5, 2, 4, 5, 1, 3, 2, 1, 3, 5, 2, 2, 5]"
Cairo,4.1,1.0289,30,"[4, 3, 4, 3, 5, 5, 5, 2, 5, 3, 5, 5, 5, 5, 4, 4, 2, 5, 3, 4, 3, 4, 5, 4, 2, 5, 5, 4, 5, 5]"
Calvin,3.3,1.622,30,"[5, 1, 5, 4, 5, 3, 2, 1, 2, 4, 2, 5, 2, 5, 1, 2, 1, 5, 1, 5, 2, 5, 5, 4, 5, 3, 4, 5, 4, 1]"
Calvin Coolidge,4.0,0.9469,30,"[4, 4, 5, 5, 4, 5, 5, 3, 3, 5, 2, 4, 4, 5, 2, 4, 4, 5, 5, 3, 4, 3, 3, 3, 5, 3, 4, 5, 5, 4]"
Cameroon,2.9,1.5391,30,"[4, 1, 2, 1, 2, 5, 3, 5, 4, 5, 2, 5, 5, 1, 1, 2, 3, 3, 1, 4, 5, 3, 3, 1, 5, 1, 3, 1, 2, 4]"
