unit,mean,std,n,individual_ratings
COCCYX,2.3667,1.4499,30,"[2, 1, 3, 2, 1, 2, 1, 1, 3, 3, 2, 1, 3, 5, 1, 5, 3, 2, 3, 3, 1, 5, 5, 5, 1, 1, 3, 1, 1, 1]"
COLLATERAL,4.4,0.8944,30,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 3, 4, 5, 4, 5, 5, 5, 2, 4, 3, 4, 3, 5]"
COMMANDOS,4.1,1.125,30,"[4, 5, 5, 5, 4, 5, 4, 4, 5, 2, 5, 5, 4, 3, 5, 5, 4, 3, 4, 5, 2, 5, 5, 5, 2, 5, 2, 4, 2, 5]"
CONFINE,4.5667,0.7279,30,"[4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 3, 3, 3, 5]"
CONNIE,3.4828,1.2989,29,"[4, 5, 4, 4, 3, 2, 5, 4, 5, 2, 5, 5, 3, 5, 1, 5, 4, 3, 3, 4, 1, 3, 4, 3, 1, 3, 3, 2, 5]"
CONTINENTAL,4.3667,0.8899,30,"[4, 5, 5, 4, 4, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 2, 4, 3, 4, 2, 5]"
COOKING,4.9333,0.2537,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
COOKOUT,4.7241,0.5914,29,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 3, 4, 3, 5, 4, 5]"
CORRESPONDENCE,4.6333,0.6687,30,"[4, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 4, 3, 5]"
COSTLY,4.6333,0.6687,30,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 3, 5, 3, 4, 3, 5]"
COURTESY,4.8,0.4842,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 3, 5]"
CRATER,4.6667,0.8023,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 4, 2, 5]"
CRAWLEY,2.2414,1.2999,29,"[4, 5, 1, 2, 3, 5, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 4, 2, 2, 1, 3, 2, 2, 1, 2, 2, 3, 2, 5]"
CREAK,4.5333,0.8996,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 2, 5, 3, 3, 3, 5]"
CREATIVE,4.7586,0.5766,29,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 4, 3, 5]"
CRIPPLE,4.5517,0.8275,29,"[5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 3, 5, 2, 4, 3, 5]"
CUCUMBER,4.8333,0.5307,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5]"
CURRICULUM,4.6333,0.6687,30,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 3, 5, 4, 4, 3, 5]"
CUSH,2.4138,1.402,29,"[2, 3, 2, 2, 5, 3, 1, 5, 1, 2, 1, 2, 1, 5, 2, 5, 2, 3, 1, 2, 4, 4, 1, 1, 1, 2, 1, 2, 4]"
CUTS,4.8276,0.4682,29,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 4, 5]"
DAMNED,4.5667,1.0063,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 2, 5, 2, 5]"
DANK,3.5667,1.4065,30,"[3, 2, 3, 5, 5, 5, 2, 1, 3, 1, 5, 5, 5, 5, 1, 3, 5, 2, 4, 4, 4, 5, 5, 5, 2, 4, 3, 4, 2, 4]"
DEPRAVED,4.3667,1.0662,30,"[5, 4, 4, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 2, 4, 2, 4, 3, 5]"
DIPLOMACY,4.5667,0.7279,30,"[5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 3, 4, 4, 4, 2, 5]"
DOCUMENTARIES,4.7931,0.4123,29,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 4, 5]"
DOMINATRIX,3.7931,1.3196,29,"[4, 3, 4, 4, 5, 5, 1, 5, 2, 5, 5, 5, 5, 5, 1, 3, 2, 4, 5, 4, 5, 5, 5, 4, 2, 2, 3, 3, 4]"
DOOLEY,2.0,0.9097,30,"[3, 4, 2, 1, 2, 2, 2, 1, 1, 1, 2, 3, 3, 1, 1, 3, 4, 2, 2, 1, 1, 3, 2, 2, 1, 1, 2, 2, 2, 3]"
DOORWAY,4.9,0.4026,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
DORIS,3.6333,1.2994,30,"[5, 5, 2, 2, 3, 5, 5, 4, 5, 3, 5, 5, 3, 5, 2, 5, 3, 3, 4, 4, 3, 5, 5, 3, 1, 3, 2, 4, 1, 4]"
DOSED,4.0667,1.2299,30,"[5, 5, 5, 5, 5, 5, 1, 5, 5, 2, 5, 5, 3, 3, 5, 5, 5, 3, 4, 5, 3, 5, 5, 3, 3, 5, 2, 4, 2, 4]"
DWARF,4.7,0.7497,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 3, 5]"
DYSCALCULIA,1.6,1.0034,30,"[3, 2, 1, 1, 4, 2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 5, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1]"
