unit,mean,std,n,individual_ratings
pushing,3.6500,1.3117,40,"[4, 5, 3, 1, 5, 3, 2, 4, 4, 5, 5, 3, 4, 3, 3, 5, 3, 2, 4, 5, 4, 5, 1, 3, 1, 4, 5, 2, 1, 5, 5, 3, 5, 3, 4, 5, 5, 4, 3, 5]"
putrefying,3.1750,1.2586,40,"[4, 4, 4, 1, 2, 3, 2, 4, 2, 3, 4, 3, 2, 5, 1, 3, 2, 4, 2, 3, 3, 1, 2, 5, 4, 5, 5, 4, 5, 5, 3, 2, 3, 4, 1, 5, 3, 2, 4, 3]"
rasping,3.2250,0.9470,40,"[4, 3, 4, 1, 2, 3, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 2, 4, 3, 5, 5, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 3, 2, 4, 5, 3, 2, 2]"
receding,2.8000,1.2237,40,"[3, 1, 2, 1, 4, 3, 2, 4, 3, 3, 5, 3, 2, 5, 3, 2, 5, 2, 2, 2, 3, 2, 4, 5, 5, 3, 1, 3, 2, 3, 1, 4, 3, 4, 1, 1, 2, 3, 3, 2]"
retracting,3.0000,0.8473,40,"[3, 4, 3, 1, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 2, 3, 5, 3, 3, 3, 4, 2, 1, 4, 4, 1, 3, 2, 4, 2, 4, 3, 3, 3]"
rolling,3.3750,0.8969,40,"[3, 5, 3, 1, 4, 3, 3, 2, 4, 4, 5, 3, 3, 3, 3, 3, 3, 5, 5, 3, 3, 5, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 4, 3, 2, 2, 4, 4, 3, 4]"
rotating,3.2308,0.7767,39,"[3, 5, 3, 2, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 5, 3, 5, 3, 1, 4, 3, 4, 4, 3]"
rotting,3.0500,1.6164,40,"[4, 1, 5, 1, 2, 3, 2, 4, 2, 3, 5, 4, 1, 5, 3, 2, 5, 4, 2, 1, 2, 1, 1, 5, 5, 5, 2, 3, 5, 5, 1, 5, 5, 4, 1, 4, 2, 1, 1, 5]"
shushing,3.2000,1.3243,40,"[2, 3, 4, 1, 5, 5, 4, 2, 2, 4, 4, 4, 5, 3, 3, 4, 2, 4, 5, 4, 3, 5, 1, 1, 4, 3, 5, 1, 1, 2, 1, 3, 5, 3, 4, 4, 3, 3, 2, 4]"
singing,2.2500,1.3540,40,"[1, 2, 1, 1, 4, 4, 2, 2, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 5, 3, 4, 5, 5, 1, 2, 1, 2, 1, 1, 3, 1, 1, 3, 2, 2, 3, 3, 4, 2, 5]"
slashing,3.4500,1.3578,40,"[4, 5, 3, 1, 4, 3, 4, 4, 5, 5, 5, 5, 4, 1, 4, 5, 3, 3, 4, 4, 4, 5, 1, 2, 2, 2, 5, 1, 1, 3, 4, 1, 4, 4, 5, 3, 4, 5, 3, 3]"
slouching,2.2750,0.9334,40,"[2, 2, 2, 2, 4, 3, 2, 2, 3, 2, 2, 2, 3, 5, 1, 2, 3, 2, 2, 3, 3, 2, 2, 1, 1, 3, 1, 1, 1, 4, 1, 1, 3, 3, 2, 3, 3, 2, 3, 2]"
snipping,3.8718,1.2393,39,"[3, 5, 5, 1, 2, 3, 4, 3, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 4, 5, 4, 2, 4, 5, 1, 2, 3, 5, 1, 4, 4, 5, 3, 5, 4, 4, 4]"
sobering,2.9744,1.0127,39,"[3, 2, 3, 1, 4, 3, 4, 4, 3, 3, 3, 4, 4, 5, 3, 2, 3, 2, 2, 2, 5, 1, 1, 3, 4, 3, 2, 2, 3, 4, 4, 4, 3, 4, 2, 2, 3, 3, 3]"
splashing,3.5250,0.9334,40,"[3, 4, 3, 1, 4, 3, 3, 4, 3, 3, 5, 4, 5, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 1, 4, 4, 3, 4, 4, 3, 5, 4, 4, 5, 4, 4, 4, 3, 5]"
splintering,3.3500,1.1447,40,"[3, 4, 4, 1, 2, 3, 3, 4, 3, 3, 5, 5, 3, 4, 4, 2, 3, 3, 2, 4, 3, 3, 1, 5, 4, 3, 5, 3, 4, 1, 5, 5, 5, 4, 2, 2, 4, 3, 4, 3]"
sprouting,2.3500,1.2720,40,"[3, 4, 1, 1, 2, 3, 2, 4, 2, 2, 1, 3, 4, 5, 1, 2, 3, 2, 2, 2, 4, 1, 3, 5, 4, 1, 4, 1, 1, 1, 2, 1, 2, 2, 1, 4, 1, 2, 4, 1]"
squeaking,3.0513,0.8568,39,"[3, 3, 2, 2, 5, 3, 3, 4, 2, 3, 3, 4, 2, 3, 1, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 5, 3, 3, 3, 5, 2, 3, 3, 3, 2, 4, 2, 3, 3]"
staying,2.6750,0.7299,40,"[3, 3, 2, 1, 2, 3, 2, 3, 4, 3, 3, 2, 3, 1, 3, 3, 3, 2, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 2, 2, 4, 2, 3, 2, 2, 2, 3, 2, 2, 3]"
steadying,3.0000,0.7511,40,"[3, 4, 3, 1, 3, 3, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 4, 3, 2, 3, 3, 3, 2, 3, 1, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3]"
thawing,3.4872,1.2112,39,"[3, 5, 4, 2, 1, 3, 4, 4, 2, 4, 5, 5, 3, 3, 4, 3, 3, 4, 2, 4, 3, 3, 1, 5, 5, 5, 4, 5, 1, 5, 5, 5, 3, 2, 4, 3, 3, 3, 3]"
thickening,3.1750,0.9842,40,"[3, 2, 5, 1, 4, 3, 3, 3, 2, 3, 5, 3, 2, 2, 3, 4, 3, 3, 3, 3, 3, 5, 2, 3, 4, 3, 3, 2, 3, 3, 5, 5, 4, 4, 2, 2, 4, 3, 4, 3]"
thinking,2.0500,1.1756,40,"[1, 1, 3, 1, 1, 3, 4, 3, 2, 2, 1, 3, 5, 1, 1, 3, 1, 1, 2, 3, 2, 1, 5, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 3, 1, 2, 3, 3, 3, 3]"
tilting,3.2750,0.8161,40,"[3, 4, 5, 1, 2, 3, 3, 3, 3, 3, 5, 4, 3, 4, 5, 4, 4, 3, 3, 2, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 2, 4, 3, 3, 3]"
winking,2.2500,1.1491,40,"[2, 3, 2, 1, 5, 4, 2, 2, 2, 1, 2, 1, 5, 1, 2, 3, 3, 1, 3, 4, 3, 1, 3, 1, 2, 3, 1, 1, 1, 4, 1, 1, 2, 2, 2, 2, 4, 2, 2, 3]"
wrinkling,3.2000,1.0178,40,"[3, 2, 3, 1, 2, 3, 2, 4, 4, 3, 3, 4, 2, 5, 3, 2, 3, 3, 2, 3, 5, 5, 2, 3, 4, 3, 3, 3, 3, 3, 5, 4, 5, 4, 3, 2, 3, 3, 5, 3]"
