word,mean,std,n
brew,4.515,1.794,33
brewer,3.438,1.784,32
bribe,5.242,1.741,33
bridal,4.966,1.691,29
bridal (horse),2.829,1.781,35
bridal (marriage),5.0,1.92,32
bride,5.594,1.598,32
bridegroom,4.781,1.98,32
bridesmaid,5.235,1.61,34
bridesmaids,4.781,1.866,32
bridge,6.161,1.346,31
bridge (card game),3.088,1.869,34
bridge (structure),6.242,1.102,33
brief,5.546,1.458,33
bright,6.613,0.748,31
bright (light),6.177,1.097,34
bright (smart),6.206,1.132,34
brilliant,6.086,1.18,35
brilliant (great),6.656,0.592,32
brilliant (intelligent),6.286,1.084,35
brilliant (luminous),5.5,1.5,32
brink,4.0,1.82,32
brisk,4.2,1.849,35
broccoli,6.125,1.166,24
broken,6.0,0.886,28
bronze,5.849,1.258,33
broom,5.515,1.743,33
brother,6.677,0.857,31
brow,4.697,1.834,33
brown,6.333,1.274,30
brunch,5.114,1.686,35
brunette,5.853,1.216,34
brush,6.107,1.047,28
brushed,5.393,1.397,28
brutal,5.242,1.558,33
brute,3.968,1.975,31
bubble,5.758,1.415,33
bubbly,5.273,1.675,33
buffalo,4.758,1.793,33
bugle,2.742,2.063,31
build,5.909,1.215,33
builder,5.879,1.249,33
building,6.29,1.053,31
bulb,6.194,1.09,31
bulb (light),6.171,1.363,35
bulb (plant),4.353,1.892,34
bulge,5.161,1.668,31
bulk,4.576,1.326,33
bull,5.455,1.479,33
bulldozer,4.471,2.076,34
bullet,5.088,1.56,34
bullish,3.029,1.89,35
bully,5.571,1.44,35
bundle,4.771,1.495,35
bungalow,5.25,1.953,32
bunk,4.029,1.978,34
bunk (bed),5.235,1.783,34
bunk (truant),3.313,1.944,32
bunny,5.438,1.619,32
buoy,4.618,2.21,34
burden,5.31,1.417,29
burger,6.667,0.682,33
burglar,4.172,1.683,29
burglary,4.467,1.607,30
burgle,5.2,1.904,30
burial,4.344,1.593,32
burn,6.161,1.019,31
burner,4.324,1.744,34
burnt,5.5,1.476,28
burst,5.161,1.648,31
bury,5.182,1.714,33
bus,6.667,0.532,33
business,5.636,1.322,33
businessman,5.697,1.291,33
bust,5.061,1.575,33
bust (break),4.033,2.025,30
bust (breasts),5.471,1.595,34
bust (sculpture),3.882,1.997,34
busy,6.097,1.279,31
busybody,4.5,2.0,32
butcher,4.939,1.65,33
butler,4.156,1.938,32
butt,5.31,1.342,29
butter,6.208,1.154,24
butterfly,6.414,0.966,29
button,6.156,0.87,32
buy,6.613,0.748,31
buzzard,3.788,1.981,33
cabin,4.697,1.605,33
cabinet,5.206,1.677,34
cabinet (closet),5.129,1.641,31
cabinet (council),3.906,1.958,32
cacti,4.029,1.905,35
cactus,4.324,2.025,34
cafe,6.452,0.797,31
cake,6.484,0.713,31
cakes,6.742,0.506,31
calcium,5.156,1.543,32
calculus,4.242,2.202,33
calendar,5.909,1.24,33
calf,5.515,1.987,33
calf (cow),5.613,1.58,31
calf (muscle),5.563,1.619,32
call,5.781,1.556,32
call (shout),5.969,1.38,32
call (telephone),6.353,0.904,34
call (visit),5.471,1.419,34
calm,6.235,0.877,34
camel,4.793,1.689,29
camera,6.344,0.922,32
camouflage,4.758,1.634,33
camp,5.367,1.643,30
camp (effeminate),4.794,2.193,34
camp (tents),5.387,1.659,31
camper,4.765,1.681,34
campus,6.063,1.171,32
canal,5.091,1.865,33
cancer,6.452,0.945,31
candidate,5.037,1.261,27
candle,6.259,1.075,27
candy,5.594,1.902,32
candyfloss,5.121,1.871,33
cane,4.576,1.955,33
cane (beat),3.471,1.819,34
cane (stick),4.294,2.037,34
cane (sugar),4.333,1.995,33
cannon,3.552,1.754,29
canoe,4.706,1.654,34
canyon,4.546,1.635,33
cap,4.879,1.737,33
cap (hat),5.353,1.512,34
cap (limit),4.452,1.603,31
capable,5.686,1.304,35
capacity,5.229,1.396,35
