word,mean,std,n
bracelet,1.686,1.008,35
bracket,4.484,0.757,31
brain,4.276,0.638,29
brainy,4.0,1.047,31
brake,4.771,0.897,35
brand,3.767,0.883,30
brass,4.778,0.737,27
brasserie,2.303,1.337,33
brassiere,1.909,1.164,33
brave,5.0,1.572,34
bravery,5.563,1.116,32
brazen,4.226,1.288,31
breach,4.639,1.228,36
bread,3.793,0.886,29
break,4.567,1.116,30
break (destroy),5.618,0.94,34
break (luck),3.909,0.83,33
break (rest),3.727,0.75,33
breakfast,3.636,0.948,33
breast,1.303,0.937,33
breasts,1.382,0.687,34
breeze,2.818,0.968,33
brew,4.706,1.425,34
brewer,5.0,1.061,32
bribe,4.743,1.227,35
bridal,1.258,0.671,31
bridal (horse),3.088,1.222,34
bridal (marriage),1.515,1.048,33
bride,1.429,0.871,35
bridegroom,4.758,2.089,33
bridesmaid,1.257,0.731,35
bridesmaids,1.424,0.74,33
bridge,4.765,1.214,34
bridge (card game),4.177,1.543,34
bridge (structure),5.486,1.131,35
brief,4.333,0.804,33
bright,2.97,1.167,33
bright (light),3.571,0.803,35
bright (smart),3.314,1.237,35
brilliant,3.543,0.996,35
brilliant (great),3.879,1.249,33
brilliant (intelligent),3.914,1.339,35
brilliant (luminous),2.882,1.367,34
brink,4.188,1.014,32
brisk,4.546,0.924,33
broccoli,4.069,0.868,29
broken,4.031,0.952,32
bronze,4.222,1.272,36
broom,3.75,1.346,32
brother,6.677,0.716,34
brow,4.118,1.388,34
brown,4.688,1.184,32
brunch,2.97,0.797,33
brunette,1.824,1.097,34
brush,2.607,1.012,28
brushed,3.267,0.854,30
brutal,5.618,1.085,34
brute,5.853,1.191,34
bubble,2.677,0.794,34
bubbly,2.788,0.879,33
buffalo,5.714,0.943,35
bugle,4.2,0.98,25
build,5.382,0.908,34
builder,6.212,0.844,33
building,5.353,1.16,34
bulb,3.818,0.903,33
bulb (light),4.229,1.044,35
bulb (plant),3.469,0.968,32
bulge,5.118,1.451,34
bulk,5.706,1.201,34
bull,6.286,0.813,35
bulldozer,5.824,1.097,34
bullet,5.412,1.115,34
bullish,5.767,0.955,30
bully,5.4,1.2,35
bundle,3.412,1.004,34
bungalow,3.879,1.094,33
bunk,4.629,0.796,35
bunk (bed),4.824,1.124,34
bunk (truant),4.967,1.016,30
bunny,2.314,0.854,35
buoy,5.091,1.311,33
burden,4.065,1.105,31
burger,5.323,0.963,31
burglar,5.516,0.875,31
burglary,5.1,0.978,30
burgle,5.333,1.092,33
burial,4.265,1.009,34
burn,4.879,0.807,33
burner,4.636,0.948,33
burnt,4.429,0.863,28
burst,4.147,1.004,34
bury,4.543,0.731,35
bus,4.412,0.691,34
business,5.088,0.981,34
businessman,6.394,0.776,33
bust,2.771,1.692,35
bust (break),4.969,1.262,32
bust (breasts),1.743,1.227,35
bust (sculpture),3.382,1.591,34
busy,3.879,1.43,33
busybody,2.813,1.356,32
butcher,5.971,0.941,35
butler,6.353,0.723,34
butt,3.885,1.013,26
butter,3.778,0.994,27
butterfly,2.086,0.841,35
button,3.912,1.172,34
buy,3.686,1.326,35
buzzard,4.6,1.143,30
cabin,4.382,0.841,34
cabinet,4.242,0.922,33
cabinet (closet),3.533,1.118,30
cabinet (council),5.194,0.895,31
cacti,4.371,1.017,35
cactus,4.514,1.273,35
cafe,2.727,0.862,33
cake,2.857,0.798,35
cakes,2.546,0.924,33
calcium,4.314,1.063,35
calculus,4.765,0.972,34
calendar,3.441,0.945,34
calf,3.889,1.542,36
calf (cow),3.563,1.519,32
calf (muscle),4.824,1.124,34
call,3.677,0.794,34
call (shout),4.375,1.244,32
call (telephone),3.03,1.029,33
call (visit),3.353,0.836,34
calm,3.229,1.221,35
