word,mean,std,n
beneficial,2.829,1.647,35
benefit,3.457,1.645,35
bereavement,3.333,1.853,33
berry,6.343,0.893,35
best,3.029,1.599,34
betray,2.719,1.256,32
betrayal,3.629,2.099,35
beverage,6.412,0.943,34
beware,3.625,1.883,32
bicycle,6.667,0.586,33
bid,3.879,1.472,33
bigot,4.125,1.816,32
bike,6.794,0.53,34
billion,3.0,2.1,34
binder,5.469,1.639,32
biology,4.206,1.641,34
bird,6.778,0.497,27
birth,6.059,1.282,34
birthday,5.088,1.597,34
biscuit,6.657,0.63,35
bishop,6.129,1.008,31
bison,5.929,1.557,28
bit,3.152,1.373,33
bit (bite),5.03,1.732,33
bit (horse bridal),5.593,1.593,27
bit (small amount),4.235,1.699,34
bitch,4.441,1.518,34
bitchy,4.094,2.006,32
bitter,3.088,1.884,34
bizarre,2.871,1.791,31
black,6.143,1.676,35
blackmail,3.242,2.075,33
blacksmith,6.5,0.901,32
blade,6.543,0.936,35
blame,2.571,1.103,35
bland,2.656,1.24,32
blank,4.629,2.139,35
blasphemy,2.727,1.78,33
blaze,5.686,1.41,35
blazes,4.807,1.468,31
bleak,3.371,1.914,35
blend,3.824,1.617,34
blender,6.3,0.823,30
bless,2.594,1.693,32
blessed,3.657,2.097,35
blessing,3.576,1.688,33
blessings,3.25,1.581,32
blimp,5.5,1.839,30
blind,5.235,1.733,34
bliss,3.938,1.802,32
blister,6.314,1.141,35
block,5.121,1.647,33
bloke,5.914,1.156,35
blond,6.061,1.229,33
blonde,6.546,0.656,33
blood,6.412,1.115,34
bloody,5.941,1.533,34
bloom,5.032,1.787,31
blossom,6.206,1.023,34
blouse,6.121,1.472,33
blow,4.735,1.945,34
blow (hit),5.667,1.198,33
blow (wind),4.657,1.655,35
blubber,5.029,1.562,34
blubber (cry),5.706,1.525,34
blubber (fat),5.853,1.375,34
blue,6.471,1.218,34
blueberry,6.781,0.483,32
bluff,3.0,1.455,34
blunder,3.059,1.305,34
blunt,3.938,1.6,32
board,5.857,1.199,35
board (enter),4.618,1.766,34
board (executive),4.849,1.617,33
board (wooden),6.265,0.949,34
boarded,4.177,1.74,34
boast,2.875,1.317,32
boastful,4.2,1.753,35
boat,6.823,0.554,62
body,6.333,1.035,33
boil,5.515,1.373,33
boiler,6.03,1.381,33
bold,4.121,1.719,33
bollocks,5.029,2.036,34
bomb,6.273,0.862,33
bomber,4.9,1.578,30
bond,3.8,1.546,35
bondage,5.273,1.377,33
bonds,3.912,1.502,34
bonds (money),4.212,1.665,33
bonds (restraints),5.486,1.402,35
bone,6.625,0.74,32
bones,6.677,0.794,34
bongo,5.97,1.267,33
bonnet,6.281,1.205,32
bonus,3.273,1.523,33
book,6.643,0.61,28
book (read),6.406,1.169,32
book (reserve),4.382,1.732,34
bookcase,6.647,0.723,34
boom,4.563,2.318,32
boost,2.824,1.361,34
boot,6.552,0.932,29
boot (car),6.364,1.068,33
boot (evict),3.735,1.96,34
boot (shoe),6.647,0.836,34
bored,3.457,1.713,35
boredom,3.771,1.675,35
boring,3.457,1.73,35
born,4.258,1.414,31
borrow,2.939,1.669,33
bosom,5.242,1.875,33
boss,5.8,1.26,35
botanist,4.815,1.278,27
botany,3.938,1.767,32
bother,2.686,1.72,35
bottle,6.536,0.944,28
bottom,4.938,1.819,32
bought,4.03,1.714,33
boulder,6.613,0.904,31
bounce,5.188,1.509,32
bouncy,4.912,1.772,34
bound,4.438,1.638,32
bouquet,6.486,0.732,35
bout,3.1,1.422,30
bow,6.029,1.2,34
bow (bend),5.029,1.543,34
bow (ribbon),6.441,1.09,34
bow (ship),5.968,1.555,31
bow (weapon),6.636,0.81,33
bowel,4.818,1.486,33
bowl,6.424,1.207,33
box,6.313,1.285,32
box (container),6.294,1.177,34
box (sport),6.0,1.346,32
boxer,6.618,0.642,34
boxer (dog),6.5,1.144,34
boxer (fighter),6.429,0.935,35
boxing,6.394,0.694,33
boy,6.485,0.857,33
boycott,2.939,1.516,33
bra,6.714,0.74,35
bracelet,6.471,0.915,34
bracket,5.161,1.725,31
brain,6.103,1.322,29
brainy,3.387,1.698,31
brake,5.657,0.924,35
brand,3.849,1.282,33
brass,4.774,1.717,31
brasserie,5.727,1.638,33
brassiere,6.061,1.516,33
brave,3.629,1.884,35
bravery,3.727,1.911,33
brazen,3.172,1.763,29
breach,2.75,1.5,32
bread,6.8,0.4,30
break,4.364,1.702,33
break (destroy),5.5,1.558,34
break (luck),3.091,1.848,33
break (rest),3.97,1.714,33
