word,mean,std,n
blessings,2.909,1.505,33
blimp,5.931,1.53,29
blind,5.314,1.489,35
bliss,2.667,1.837,33
blister,6.147,0.944,34
block,5.294,1.563,34
bloke,5.457,1.499,35
blond,5.394,1.254,33
blonde,5.943,1.094,35
blood,6.057,1.308,35
bloody,5.088,1.463,34
bloom,4.152,1.559,33
blossom,5.394,1.556,33
blouse,6.0,1.495,34
blow,4.471,1.649,34
blow (hit),5.281,1.281,32
blow (wind),4.514,1.296,35
blubber,4.912,1.755,34
blubber (cry),4.03,1.381,33
blubber (fat),5.882,0.993,34
blue,4.886,1.982,35
blueberry,6.758,0.653,33
bluff,3.529,1.519,34
blunder,2.941,1.327,34
blunt,3.936,1.664,31
board,6.057,1.351,35
board (enter),4.788,1.647,33
board (executive),4.939,1.254,33
board (wooden),6.543,0.731,35
boarded,3.853,1.574,34
boast,3.194,1.468,31
boastful,3.088,1.56,34
boat,6.716,0.618,67
body,6.0,1.299,32
boil,5.324,1.71,34
boiler,6.229,0.897,35
bold,3.559,1.518,34
bollocks,5.143,1.743,35
bomb,6.5,0.697,34
bomber,5.333,1.491,30
bond,3.714,1.426,35
bondage,4.788,1.737,33
bonds,3.853,1.438,34
bonds (money),5.257,1.441,35
bonds (restraints),5.086,1.795,35
bone,6.606,0.952,33
bones,6.882,0.322,34
bongo,5.906,1.444,32
bonnet,6.469,0.706,32
bonus,4.0,1.595,33
book,6.793,0.483,29
book (read),6.563,0.899,32
book (reserve),4.706,1.637,34
bookcase,6.5,1.323,32
boom,3.438,1.87,32
boost,3.324,1.47,34
boot,6.586,0.81,29
boot (car),6.229,1.221,35
boot (evict),4.029,1.774,34
boot (shoe),6.667,0.804,33
bored,3.057,1.393,35
boredom,2.857,1.726,35
boring,2.914,1.402,35
born,4.3,1.829,30
borrow,3.485,1.282,33
bosom,5.765,1.436,34
boss,6.029,1.175,34
botanist,5.259,1.53,27
botany,5.138,1.383,29
bother,2.686,1.304,35
bottle,6.429,0.821,28
bottom,4.781,1.576,32
bought,4.088,1.704,34
boulder,6.265,1.29,34
bounce,4.531,1.658,32
bouncy,4.059,1.748,34
bound,3.824,1.465,34
bouquet,5.8,1.141,35
bout,3.581,1.476,31
bow,5.514,1.273,35
bow (bend),4.697,1.586,33
bow (ribbon),6.059,1.083,34
bow (ship),6.613,0.704,31
bow (weapon),6.794,0.404,34
bowel,6.091,1.164,33
bowl,6.546,0.742,33
box,6.29,1.197,31
box (container),6.429,0.838,35
box (sport),5.394,1.669,33
boxer,6.152,0.989,33
boxer (dog),6.647,0.681,34
boxer (fighter),6.471,0.915,34
boxing,5.971,0.857,34
boy,6.412,1.286,34
boycott,2.939,1.413,33
bra,6.629,0.636,35
bracelet,6.743,0.498,35
bracket,5.594,1.271,32
brain,6.355,1.033,31
brainy,3.125,1.615,32
brake,5.514,1.204,35
brand,3.333,1.551,33
brass,5.5,1.803,32
brasserie,5.394,1.632,33
brassiere,6.0,1.518,33
brave,2.629,1.569,35
bravery,3.387,1.772,31
brazen,2.448,1.101,29
breach,3.543,1.227,35
bread,6.828,0.46,29
break,4.387,1.474,31
break (destroy),4.941,1.589,34
break (luck),2.879,1.513,33
break (rest),4.059,1.697,34
breakfast,5.853,1.353,34
breast,6.485,0.657,33
breasts,6.529,0.652,34
breeze,4.618,1.284,34
brew,5.0,1.434,35
brewer,5.118,1.641,34
bribe,3.677,1.548,34
bridal,4.394,1.791,33
bridal (horse),6.063,1.197,32
bridal (marriage),4.594,1.637,32
bride,6.471,0.813,34
bridegroom,5.903,1.329,31
bridesmaid,5.886,1.43,35
bridesmaids,6.344,1.189,32
bridge,6.938,0.242,32
bridge (card game),5.324,1.604,34
bridge (structure),6.8,0.4,35
brief,3.147,1.665,34
bright,4.594,1.693,32
bright (light),4.706,1.775,34
bright (smart),2.914,1.5,35
brilliant,2.886,1.635,35
brilliant (great),2.576,1.326,33
brilliant (intelligent),3.029,2.021,35
brilliant (luminous),3.5,1.5,34
brink,3.588,1.309,34
brisk,3.576,1.371,33
broccoli,6.655,0.708,29
broken,3.364,1.494,33
bronze,5.771,1.495,35
broom,6.25,1.436,32
brother,6.242,1.181,33
brow,5.788,1.365,33
brown,5.152,1.777,33
brunch,5.177,1.839,34
brunette,5.697,1.487,33
brush,6.219,1.192,32
brushed,4.121,1.493,33
brutal,3.686,1.635,35
brute,4.03,1.446,33
bubble,5.571,1.498,35
bubbly,3.571,1.379,35
buffalo,6.441,0.811,34
bugle,5.583,1.73,24
build,5.229,1.623,35
builder,6.229,0.865,35
building,6.813,0.726,32
bulb,6.594,0.655,32
bulb (light),6.229,1.149,35
bulb (plant),6.441,0.774,34
bulge,5.125,1.495,32
bulk,4.824,1.465,34
bull,6.588,0.647,34
bulldozer,6.647,0.936,34
bullet,6.727,0.565,33
bullish,3.333,1.468,30
bully,5.029,1.63,35
bundle,5.0,1.287,35
bungalow,6.303,1.267,33
bunk,5.657,1.453,35
bunk (bed),6.559,0.694,34
bunk (truant),3.69,1.417,29
bunny,6.629,0.68,35
buoy,6.515,0.744,33
burden,2.875,1.596,32
burger,6.625,0.74,32
burglar,5.552,1.192,29
burglary,4.258,1.391,31
burgle,4.97,1.834,33
burial,5.686,1.237,35
burn,5.353,1.473,34
burner,5.086,1.826,35
burnt,4.375,1.386,32
burst,3.882,1.345,34
bury,4.714,1.465,35
bus,6.882,0.322,34
business,4.743,1.537,35
businessman,6.059,1.259,34
bust,4.971,1.636,34
bust (break),3.636,1.432,33
bust (breasts),6.697,0.521,33
bust (sculpture),6.219,0.927,32
busy,3.571,1.573,35
busybody,4.226,1.496,31
butcher,6.294,1.044,34
butler,5.656,1.533,32
butt,6.387,0.973,31
butter,6.233,0.989,30
butterfly,6.452,1.073,31
button,6.382,0.875,34
buy,4.206,1.694,34
buzzard,6.357,1.342,28
cabin,6.457,0.905,35
cabinet,6.714,0.7,35
cabinet (closet),6.71,0.632,31
cabinet (council),4.807,1.281,31
cacti,6.743,0.498,35
cactus,6.486,1.228,35
cafe,6.121,1.066,33
cake,6.829,0.446,35
cakes,6.688,0.682,32
calcium,5.143,1.775,35
calculus,4.25,1.888,32
calendar,6.0,1.085,34
calf,6.629,0.721,35
calf (cow),6.697,0.674,33
calf (muscle),6.576,0.653,33
call,4.441,1.666,34
call (shout),4.788,1.572,33
call (telephone),4.735,1.651,34
call (visit),4.206,1.389,34
calm,3.794,1.41,34
camel,6.807,0.47,31
camera,6.727,0.75,33
camouflage,5.324,1.3,34
camp,5.057,1.53,35
camp (effeminate),3.133,1.746,30
camp (tents),6.152,1.184,33
camper,5.576,1.045,33
campus,5.688,1.379,32
canal,6.559,0.774,34
cancer,5.563,1.435,32
candidate,4.484,1.365,31
candle,6.621,0.665,29
candy,6.114,1.09,35
candyfloss,6.242,1.207,33
cane,6.546,0.742,33
cane (beat),5.813,1.261,32
cane (stick),6.371,1.098,35
cane (sugar),6.147,1.286,34
cannon,6.433,0.989,30
canoe,6.697,0.627,33
canyon,6.543,0.691,35
cap,6.314,0.854,35
cap (hat),6.543,0.936,35
cap (limit),3.455,1.416,33
capable,2.8,1.704,35
capacity,2.943,1.351,35
cape,5.807,1.306,31
captivate,2.0,0.829,32
captivating,2.258,1.015,31
captive,4.156,1.641,32
capture,4.235,1.477,34
car,6.857,0.35,35
caravan,6.469,1.0,32
carbohydrate,5.147,1.896,34
carbon,5.177,1.74,34
carcass,5.636,1.514,33
card,6.367,0.875,30
care,3.031,1.649,32
career,4.212,1.771,33
careful,3.147,1.665,34
caress,4.156,1.439,32
carnival,6.2,0.821,35
carol,4.912,1.337,34
carp,5.967,1.538,30
carpenter,6.114,1.063,35
carpet,6.147,0.944,34
carriage,6.303,0.969,33
carrot,6.909,0.288,33
carry,4.938,1.116,32
carve,4.324,1.658,34
case,5.53,1.459,66
case (container),6.563,0.864,32
case (instance),3.364,1.702,33
case (legal),4.353,1.532,34
cash,6.206,1.278,34
cashier,6.294,0.824,34
casino,6.6,0.595,35
cast,4.8,1.6,35
cast (actors),5.629,1.587,35
cast (plaster bandage),6.771,0.483,35
cast (throw),4.606,1.413,33
castle,6.5,0.906,28
casual,2.971,1.54,35
casualty,4.765,1.554,34
cat,6.548,0.874,31
catapult,6.364,0.881,33
catastrophe,3.143,1.791,35
catch,3.424,1.415,33
