word,mean,std,n
appeared,3.875,1.166,32
applause,3.629,1.396,35
apple,1.529,0.606,34
Apple (brand),6.0,1.553,34
apple (fruit),1.576,0.698,33
appliance,4.909,1.111,33
applied,5.469,1.199,32
apply,4.829,1.082,35
appoint,5.412,1.375,34
appointment,4.0,1.27,31
appreciate,4.531,1.392,32
approval,4.886,1.19,35
approve,4.4,1.047,35
apricot,3.206,1.207,34
apron,3.226,0.974,31
aptitude,6.382,0.768,34
arch,4.452,1.478,31
archaeology,6.029,1.071,34
archer,4.576,1.326,33
archery,4.857,1.334,35
architect,5.286,1.084,35
archive,5.657,1.218,35
argue,3.057,1.013,35
argument,3.939,1.179,33
arise,5.029,1.23,35
aristocracy,6.441,0.914,34
aristocratic,5.912,1.269,34
arm,1.457,0.553,35
arm (limb),1.861,1.134,36
arm (weapon),5.242,1.207,33
armadillo,4.706,1.273,34
armed,4.536,1.124,69
armour,4.147,1.216,34
armoury,5.576,1.256,33
arms,2.206,0.867,34
arms (limbs),1.8,1.283,35
arms (weapons),5.5,1.44,34
army,3.597,1.35,67
aroma,5.029,1.424,35
arouse,6.0,1.218,31
aroused,6.171,0.878,35
array,6.125,0.992,32
arrest,4.235,1.238,34
arrested,4.143,1.073,35
arrive,3.03,0.904,33
arrogant,5.438,1.273,32
arrow,3.057,1.068,35
arrows,3.029,0.878,35
arse,5.0,1.475,34
arsehole,5.5,1.243,34
arson,5.971,1.071,34
art,2.441,0.735,34
artist,3.265,1.038,34
arts,3.829,1.521,35
ascend,5.171,1.159,35
ascent,5.629,1.017,35
ashamed,4.727,1.309,33
ashes,4.114,1.008,35
aspect,5.971,0.971,35
aspirin,5.088,1.442,34
ass,4.206,1.301,34
ass (donkey),4.167,1.323,36
ass (insult),5.333,1.271,33
assassin,5.324,0.83,34
assassinate,5.543,1.155,35
assault,5.121,1.008,33
asshole,5.743,1.051,35
assist,4.647,1.234,34
assistant,4.677,1.366,34
assuring,5.125,1.053,32
asteroid,4.529,1.194,34
asthma,4.029,1.295,34
astonish,4.657,1.218,35
astonished,5.114,1.237,35
astronaut,3.273,1.332,33
astronomer,5.121,1.32,33
astronomy,5.657,0.893,35
athletic,4.088,1.269,34
athletics,4.212,1.008,33
atmosphere,5.065,1.243,31
atom,5.914,1.156,35
atomic,5.529,1.311,34
atoms,5.677,1.104,34
atrocious,5.818,1.266,33
atrocity,6.273,0.93,33
attack,3.529,1.036,34
attacker,4.382,1.415,34
attempt,3.914,1.402,35
attendant,5.059,0.998,34
attention,3.412,1.263,34
attic,3.563,1.273,32
attitude,3.97,1.029,33
attract,4.514,1.339,35
attraction,5.4,1.047,35
attractive,4.576,1.28,33
attribute,5.829,1.134,35
auction,4.8,1.43,35
auctioneer,5.452,1.073,31
audience,3.667,1.198,33
auditorium,5.971,1.071,34
aunt,2.029,0.845,35
authentic,5.515,1.104,33
author,3.743,1.227,35
autopsy,6.118,1.051,34
autumn,2.353,0.936,34
avalanche,4.813,1.21,32
avenge,5.647,1.054,34
avenue,4.091,1.215,33
award,3.5,1.266,34
awarded,4.061,1.229,33
aware,3.765,0.972,34
away,2.257,1.227,35
awe,4.857,1.457,35
awesome,4.344,1.215,32
awful,3.657,1.241,35
awkward,4.514,1.317,35
axe,3.471,1.144,34
axle,5.69,1.367,29
baboon,3.543,1.155,35
baby,1.844,0.972,32
background,3.714,0.848,35
bacon,2.529,0.915,34
bacteria,4.941,1.162,34
bad,1.588,0.647,34
badge,2.794,1.301,34
badger,3.324,1.181,34
bag,2.344,1.019,32
baggage,4.406,1.476,32
bail,5.457,1.203,35
bait,4.25,1.031,32
bake,2.714,0.943,35
baker,2.457,0.84,35
bald,3.061,1.301,33
ball,1.813,1.13,32
ball (dance),3.8,1.214,35
ball (sphere),2.0,1.265,35
balloon,2.147,0.879,34
ballroom,4.177,1.361,34
bamboo,4.111,1.308,36
ban,3.667,1.341,33
banal,6.609,0.82,23
banana,1.943,0.715,35
band,3.059,0.968,34
band (music),3.412,1.141,34
band (ribbon),3.412,1.166,34
bandage,2.912,1.292,34
bandit,4.735,1.335,34
bandits,4.471,1.48,34
bang,2.382,1.609,34
banjo,4.771,1.532,35
bank,3.257,1.227,35
bank (money),3.212,1.2,33
bank (rely),5.469,1.199,32
